Paris Saint-Germain,ParisSG;
RC Lens,Lens;
Nice,Nice;
Angers SCO,Angers;
Olympique de Marseille,Marseille;
AS Monaco,Monaco;
Lorient,Lorient;
Lille OSC,Lille;
Nantes,Nantes;
Lyon,Lyon;
Strasbourg,Strasbourg;
Montpellier HSC,Montpellier;
Stade de Reims,Reims;
Clermont Foot 63,Clermont;
Girondins de Bordeaux,Bordeaux;
Troyes AC,Troyes;
Metz,Metz;
Besiktas,Brest;
AS Saint-Etienne,Saint-Etienne;
BayernMunich,BayernMunich;
BayerLeverkusen,BayerLeverkusen;
Dortmund,Dortmund;
Fribourg,Fribourg;
Wolfsburg,Wolfsburg;
FCCologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
1. FSV Mayence 05,Mayence;
BMonchengladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
Stade Rennais,Rennes;
HerthaBerlin,HerthaBerlin;
Augsburg,Augsburg;
Bielefeld,Bielefeld;
Bochum,Bochum;
GreutherFurth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brighton & Hove Albion,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
Tottenham Hotspur,Tottenham
WestHam,WestHam;
West Ham United,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton Wanderers,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Leeds United,Leeds;
Leicester City,Leicester;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
Newcastle United,Newcastle;
Norwich,Norwich;
Norwich City,Norwich;
Real Madrid,RealMadrid;
Atlético de Madrid,AtleticoMadrid;
Real Sociedad,RealSociedad;
FCSeville,FCSeville;
Osasuna,Osasuna;
Rayo Vallecano,Vallecano;
Athletic Bilbao,AthleticBilbao;
Valencia,Valence;
FCBarcelone,FCBarcelone;
Besiktas,Betis;
Villareal,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
Elche,Elche;
Celta de Vigo,CeltaVigo;
Cadix,Cadix;
Granada,Grenade;
Levante UD,Levante;
Albanie,Alaves;
Getafe,Getafe;
Naples,Naples;
ACMilan,ACMilan;
Inter,Inter;
ASRome,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Pologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellaVerone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venise FC,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
